성별코드,만연령,만연령_제곱,교육정도_학력구분코드,교육정도_계열코드,혼인상태코드,연령_20대초반,연령_20대후반,연령_30대초반,연령_30대후반,여성기혼,남성미혼,여성미혼,고졸이하,전문대졸,대졸이상,이공계,인문사회,직업교육및직장체험_취업관련시험준비분야코드,연령계층코드,직업교육및직장체험_직업교육수혜구분코드,출생연도,가구주관계코드,가장최근학교_졸업및중퇴연월,가장최근학교_입학및편입연월,직업교육및직장체험_재학휴학중직장체험여부,가장최근학교_년제수,가장최근학교_편입경험유무,직업교육및직장체험_취업관련시험준비여부,최근직장_전공관련성코드,가장최근학교_휴학경험유무,조사연월,연령대,진성쉬었음,취업여부,취업예측확률,단절위험_환경평균,정책유형,재연결지수,지원필요도점수
2,38,1444,3,3,1,0,0,0,1,0,0,1,1,0,0,1,0,0,5,0,1983,1,0,0,0,0,0,0,0,0,202205,35-39,0,1,0.8166052776694902,0.31144141770894623,재연결 가능 단절군,0.778,0.273
1,33,1089,5,40,1,0,0,1,0,0,1,0,0,0,1,0,1,0,4,1,1988,1,201702,201203,1,4,2,2,2,1,202105,30-34,0,1,0.9623729400913628,0.05925964304922146,안정군,0.956,0.0528
2,26,676,4,100,1,0,1,0,0,0,0,1,0,1,0,0,0,0,3,4,1996,3,201702,201503,1,2,2,2,4,2,202205,25-29,0,1,0.8970750398585841,0.15633791231367275,재연결 가능 단절군,0.881,0.1403
2,23,529,5,70,1,1,0,0,0,0,0,1,0,0,1,1,0,3,2,1,1998,3,0,201703,1,0,0,1,0,0,202205,20-24,0,1,0.23698169503624986,0.38198034766775535,안정군,0.351,0.4963
1,36,1296,4,40,2,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,1986,1,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.9670803370838822,0.05220923441143611,안정군,0.961,0.0464
1,34,1156,5,40,2,0,0,1,0,0,0,0,0,0,1,0,1,0,4,2,1986,1,201202,200503,1,4,2,2,3,1,202105,30-34,0,1,0.9863763786976424,0.05925964304922146,안정군,0.973,0.0456
1,30,900,5,92,1,0,0,1,0,0,1,0,0,0,1,0,0,0,4,1,1992,1,201702,201003,1,4,2,2,2,1,202205,30-34,0,1,0.9543213083997539,0.05785455694967152,안정군,0.951,0.0542
1,31,961,5,40,1,0,0,1,0,0,1,0,0,0,1,0,1,6,4,4,1989,3,201402,200803,1,4,2,1,1,1,202105,30-34,0,1,0.34013040923016863,0.05925964304922146,취업취약 비단절군,0.52,0.2394
2,24,576,5,40,1,1,0,0,0,0,0,1,0,0,1,0,1,0,2,3,1997,3,202202,201603,1,4,2,2,1,1,202205,20-24,0,1,0.8775631364910258,0.38198034766775535,안정군,0.8,0.3041
1,21,441,5,100,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,2001,3,0,202203,2,0,0,2,0,0,202305,20-24,0,0,0.07668009024034282,0.492572976263481,고착형 단절 위험군,0.206,0.6218
2,38,1444,4,21,2,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,1985,2,0,0,0,0,0,0,0,0,202305,35-39,0,0,0.5153626288021587,0.30263997373455936,취업취약 비단절군,0.57,0.3572
2,27,729,5,70,1,0,1,0,0,0,0,1,0,0,1,1,0,0,3,1,1993,3,201602,201203,2,4,2,2,3,2,202105,25-29,0,0,0.9357857962091031,0.16095345897786528,재연결 가능 단절군,0.907,0.1319
2,38,1444,6,70,2,0,0,0,1,1,0,0,0,0,1,1,0,0,5,0,1984,2,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.6572525544725915,0.30263997373455936,안정군,0.669,0.3147
2,22,484,5,22,1,1,0,0,0,0,0,1,0,0,1,0,1,0,2,1,1998,3,0,201703,1,0,0,2,0,0,202105,20-24,0,0,0.42723587642942484,0.3957577582143863,안정군,0.48,0.4489
1,32,1024,5,70,2,0,0,1,0,0,0,0,0,0,1,1,0,0,4,1,1991,1,201602,200903,2,4,2,2,4,1,202305,30-34,0,1,1.0,0.058942503480726716,안정군,0.982,0.0413
1,24,576,5,40,1,1,0,0,0,0,1,0,0,0,1,0,1,0,2,1,1998,3,0,202303,2,0,0,2,0,0,202305,20-24,0,0,0.10296677122153873,0.492572976263481,고착형 단절 위험군,0.224,0.6139
1,35,1225,3,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,1985,1,0,0,0,0,0,0,0,0,202105,35-39,0,1,0.9578250510339315,0.04956351335007309,안정군,0.956,0.0473
1,22,484,5,50,1,1,0,0,0,0,1,0,0,0,1,1,0,0,2,1,1999,1,0,201803,1,0,0,2,0,0,202205,20-24,0,0,0.5034703456834605,0.4803533520422679,안정군,0.508,0.4852
2,33,1089,4,100,2,0,0,1,0,1,0,0,0,1,0,0,0,0,4,1,1988,2,201002,200703,1,3,2,2,3,2,202205,30-34,0,0,0.5166522074416812,0.2345583864473848,고착형 단절 위험군,0.591,0.3092
1,36,1296,4,60,2,0,0,0,1,0,0,0,0,1,0,1,0,0,5,0,1987,1,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.9671413017602314,0.05220923441143611,안정군,0.961,0.0464
